nom,x,y,group
>224_Part_Col_Cas_Man,-72.281577,4.817266,A
>225_Part_Col_Cas_Man,-72.281577,4.817266,A
>226_Part_Col_Cas_Man,-72.281577,4.817266,A
>227_Part_Col_Cas_Man,-72.281577,4.817266,A
>228_Part_Col_Cas_Man,-72.281577,4.817266,A
>229_Part_Col_Cas_Man,-72.281577,4.817266,A
>230_Part_Col_Cas_Man,-72.281577,4.817266,A
>231_Part_Col_Cas_Man,-72.281577,4.817266,A
>232_Part,-72.281577,4.817266,A
>233_Part_Col_Cas_Man,-72.281577,4.817266,A
>234_Part_Col_Cas_Man,-72.281577,4.817266,A
>499_Pter,-39.428831,-12.817339,B
>500_Pter_Bra_Bah_Cas,-39.428831,-12.817339,B
>502_Pter,-39.428831,-12.817339,B
>504_Pter,-39.428831,-12.817339,B
>505_Pter,-39.428831,-12.817339,B
>506_Pter,-39.428831,-12.817339,B
>507_Pter,-39.428831,-12.817339,B
>508_Pter,-39.428831,-12.817339,B
>510_Pcor_Bra_Mat_Cor,-57.01804,-19.38609,C
>511_Pcor,-57.01804,-19.38609,B
>512_Pcor_Bra_Mat_Cor,-57.01804,-19.38609,C
>513_Pcor,-57.01804,-19.38609,C
>514_Part_Ven_Ara_Mar,-67.6017333,10.2633702,A
>515_Part_Ven_Ara_Mar,-67.6017333,10.2633702,A
>516_Part,-67.6017333,10.2633702,A
>517_Part,-67.6017333,10.2633702,A
>613_Pter,-39.428832,-12.817339,B
>614_Pter,-39.428832,-12.817339,B
>615_Pter,-39.428832,-12.817339,B
>616_Pter,-39.428832,-12.817339,B
>617_Pter,-39.428831,-12.817339,B
>623_Pter,-39.591431,-12.783287,B
>625_Pter,-39.591431,-12.783287,B
>630_Pter,-39.591431,-12.783287,B
>631_Pter_Bra_Bah_San,-39.591431,-12.783287,B
>632_Pter,-39.591431,-12.783287,B
>633_Pter_Bra_Bah_Sea,-41.32896,-12.32449,B
>634_Pter_Bra_Bah_Sea,-41.3289,-12.32449,B
>635_Pter,-41.32896,-12.32449,B
>636_Pter,-41.32896,-12.32449,B
>637_Pter,-41.32896,-12.32449,B
>647_Pter,-57.01804,-19.38609,C
>648_Pcor_Bra_Mat_Cor,-57.01804,-19.38609,C
>649_Pcor,-57.01804,-19.38609,C
>650_Pcor,-57.01804,-19.38609,C
>652_Pcor,-57.01804,-19.38609,C
>654_Pcor,-56.849279,-19.16075,C
>655_Pcor,-56.849279,-19.16075,C
>658_Pcor_Bra_Mat_Cor,-56.849279,-19.16075,C
>660_Pcor,-56.849279,-19.16075,C
>662_Pcor,-56.849279,-19.16075,C
>663_Pcor,-57.164048,-19.268467,C
>664_Pcor,-57.164048,-19.268467,C
>665_Pcor_Bra_Mat_Cor,-57.164048,-19.268467,C
>666_Pcor_Bra_Mat_Cor,-57.164048,-19.268467,C
>667_Pcor_Bra_Mat_Cor,-57.626127,-19.076201,C
>669_Pcor_Bra_Mat_Cor,-57.626127,-19.076201,C
>670_Pcor_Bra_Mat_Cor,-57.626127,-19.076201,C
>671_Pcor_Bra_Mat_Cor,-57.626127,-19.076201,C
>672_Pcor,-57.626127,-19.076201,C
>679_Pcor,-57.626127,-19.076201,C
>680_Pcor_Bra_Mat_Cor,-57.626127,-19.076201,C
>681_Pcor,-57.626127,-19.076201,C
>682_Pcor_Bra_Mat_Cor,-57.626127,-19.076201,C
>683_Pcor_Bra_Mat_Cor,-57.626127,-19.076201,C
>688_Part_Ven_Ara_Mar,-67.6017333,10.2633702,A
>689_Part_Ven_Ara_Mar,-67.6017333,10.2633702,A
>690_Part_Ven_Ara_Mar,-67.6017333,10.2633702,A
>691_Part_Ven_Ara_Mar,-67.6017333,10.2633702,A
>692_Part,-67.6017333,10.2633702,A
>693_Part_Ven_Ara_Mar,-67.6017333,10.2633702,A
>703_Pter,-44.973346,-22.309973,B
>705_Part_Ven_Ara_Mar,-67.6017333,10.2633702,A
>706_Part_Ven_Ara_Mar,-67.6017333,10.2633702,A
>707_Part_Ven_Ara_Mar,-67.6017333,10.2633702,A
>709_Part_Ven_Ara_Mar,-67.6017333,10.2633702,A
>712_Part_Ven_Ara_Mar,-67.6017333,10.2633702,A
>727_Part,-71.892955,5.881236,A
>728_Part,-71.892955,5.881236,A
>729_Part_Col_Cas_Paz,-71.892955,5.881236,A
>731_Part_Col_Cas_Tam,-72.16405,5.829558,A
>732_Part_Col_Cas_Tam,-72.16405,5.829558,A
>733_Part,-72.16405,5.829558,A
>737_Part_Col_Cas_Por,-71.99643,5.727289,A
>738_Part_Col_Cas_Por,-71.99643,5.727289,A
>742_Part_Col_Cas_Por,-71.99643,5.727289,A
>759_Part_Col_Cas_Mon,-72.892421,4.875227,C
>760_Part_Col_Cas_Mon,-72.892421,4.875227,A
>761_Part,-72.892421,4.875227,A
>765_Part_Col_Ara_Ara,-70.751657,7.063543,A
